district,rooms,size,level,max_levels,price,lat,lng
Chilonzor,2,44.0,4,4,29500,41.2606228,69.1638237
Shayhontohur,2,30.0,3,3,38500,41.320933,69.257071
Yakkasaroy,2,56.0,2,5,38000,41.2847707,69.2288981
Uchtepa,3,60.0,4,4,40000,41.2978921,69.1804708
Mirobod,2,70.0,3,4,83000,41.2991561,69.2785087
Mirzo Ulugbek,2,64.0,4,5,34500,41.34932,69.3860684
Chilonzor,3,100.0,1,12,57000,41.2606228,69.1638237
Chilonzor,3,68.0,2,4,50000,41.2606228,69.1638237
Yunusobod,4,115.0,3,9,64000,41.3825869,69.3019081
Mirzo Ulugbek,2,60.0,4,4,34000,41.3292204,69.3473509
Mirzo Ulugbek,5,100.0,4,4,48000,41.3550649,69.3585936
Mirzo Ulugbek,2,50.0,2,4,32500,41.3606566,69.3548004
Mirobod,3,105.0,7,9,125000,41.2910722,69.2769129
Mirzo Ulugbek,2,70.0,4,7,87000,41.3169199,69.3279791
Mirzo Ulugbek,5,137.0,3,7,105000,41.31512,69.3234929
Yashnobod,1,36.0,4,9,26000,41.3080076,69.3078679
Yakkasaroy,2,52.0,1,3,55000,41.2854202,69.2631768
Yangihayot,2,47.14,4,4,28000,41.2994958,69.2400734
Chilonzor,3,65.0,1,5,45000,41.2901628,69.1968618
Mirzo Ulugbek,4,130.0,6,9,115000,41.3209122,69.303727
Mirzo Ulugbek,4,110.0,4,6,125000,41.314662,69.293391
Yakkasaroy,2,61.0,2,9,53000,41.2911414,69.2601933
Mirobod,2,40.0,1,1,23500,41.28449,69.2868879
Yakkasaroy,3,75.0,7,9,62000,41.2758912,69.2937133
Chilonzor,2,54.0,4,4,37500,41.2916859,69.2177228
Yunusobod,2,64.0,3,4,54962,41.3298867,69.2803036
Chilonzor,1,30.0,3,4,31000,41.2857552,69.2117625
Chilonzor,3,68.0,4,4,46500,41.2916859,69.2177228
Yunusobod,2,50.0,1,4,38000,41.3653679,69.2773236
Mirobod,2,44.0,6,9,60000,41.3086111,69.2691667
Mirzo Ulugbek,1,35.0,2,2,20600,41.3531944,69.3519255
Yakkasaroy,3,70.0,4,5,68500,41.2877746,69.2612589
Mirzo Ulugbek,1,46.0,1,5,33000,41.3576548,69.3675816
Mirzo Ulugbek,3,71.0,4,4,40200,41.3576548,69.3675816
Chilonzor,1,50.0,5,5,21500,41.2710841,69.1849411
Yakkasaroy,1,43.0,6,16,34000,41.2801633,69.2569758
Yunusobod,2,60.0,9,9,32000,41.3709551,69.307123
Yunusobod,2,60.0,1,4,31999,41.3707855,69.3190425
Yunusobod,2,57.0,4,4,32000,41.3716355,69.2691287
Yunusobod,3,75.0,4,9,80000,41.3298867,69.2803036
Yunusobod,2,62.0,4,4,33000,41.3587493,69.2996732
Yakkasaroy,2,43.0,6,16,34000,41.2765672,69.2460335
Chilonzor,2,48.0,1,4,34000,41.305712,69.2387696
Yunusobod,3,70.0,1,9,68000,41.3298867,69.2803036
Yunusobod,2,54.0,2,4,33000,41.3683947,69.2646587
Yunusobod,2,50.0,4,4,33500,41.3716355,69.2691287
Yunusobod,2,50.0,2,4,33500,41.3683947,69.2646587
Chilonzor,2,60.0,2,9,36000,41.259418,69.1804708
Chilonzor,2,60.0,1,9,41500,41.259418,69.1804708
Chilonzor,2,68.0,1,4,41000,41.2901628,69.1968618
Chilonzor,2,50.0,1,5,34500,41.259418,69.1804708
Chilonzor,2,50.0,4,4,32500,41.259418,69.1804708
Chilonzor,2,60.0,4,5,38000,41.259418,69.1804708
Yunusobod,4,122.0,8,9,134000,41.3245206,69.2773236
Yakkasaroy,3,88.0,5,5,45500,41.2765672,69.2460335
Yakkasaroy,4,118.0,8,12,102711,41.2818558,69.2552666
Yunusobod,2,55.0,1,3,42500,41.3587493,69.2996732
Yunusobod,2,60.0,4,4,34000,41.3707855,69.3190425
Yakkasaroy,2,47.0,4,4,47500,41.2818558,69.2552666
